음식의 이름,식품 제조사,중량,단위,알러지유발,칼로리,나트륨,탄수화물,당류,포화지방,단백질
다이제씬 민트초코,오리온,30,1봉지,밀/우유/대두/쇠고기,144,160,22,1,4,1
오뜨 치즈,오리온,24,1봉지,우유/대두/계란/밀,110,55,12,7,3.1,2
초코파이 정 바나나,오리온,37,1개,밀/달걀/우유/대두/돼지고기/쇠고기,168,55,22,14,3.7,2
예감 볶음양파맛,오리온,32,1봉지,밀/대두/우유,160,190,20,3,3.5,2
미쯔 블랙,오리온,42,1봉지,밀/우유/대두/게,208,120,31,14,4,3
꼬깔콘 고소한맛,롯데,100,100g,대두/밀,570,480,59,5,12,5
에어베이크드쎈그레인,롯데,30,1회제공량,달걀/밀/대두/우유/닭고기/쇠고기,130,250,23,2,1.1,1.3
꼬깔콘 군옥수수맛,롯데,100,100g,밀/대두/우유,570,430,59,5,12,5
꼬깔콘 매콤달콤한맛,롯데,100,100g,우유/대두/밀/쇠고기,570,590,59,7,12,5
칸쵸,롯데,235,1봉지,밀/대두/우유/땅콩,196,140,33,15,6,3
몽쉘 카카오 생크림 케이크,롯데,32,1봉,밀/우유/대두/달걀/쇠고기,170,110,15,9,7,2.2
몽쉘 크림케이크,롯데,32,1봉,밀/우유/대두/계란/쇠고기,170,55,15,8,7,2.2
꼬깔콘 찰옥수수맛,롯데,30,1회제공량,우유/대두,170,200,17.6,2.2,3.3,1.4
도리토스 갈비천왕 치킨맛,롯데,100,100g,밀/대두/토마토/닭고기/계란,515,510,65,4,8,7
뻥소리,롯데,100,100g,우유/땅콩/대두,432,35,84,28,4.6,6
오잉 해물맛,롯데,75,1봉지,밀/새우/게/대두/오징어/쇠고기,380,510,52,5,8,3.4
웰빙곡물 울트라짱,롯데,100,100g,밀,515,230,69,22,11,5
빼빼로 꼬깔콘,롯데,35,1곽,우유/대두/땅콩밀,180,140,22,15,5,3
야채크래커,롯데,28,1회제공량,밀/쇠고기/대두,145,220,18,3,3.5,2
빈츠,롯데,8.5,1봉,밀/우유/대두,45,15,5,3,1.3,1
칙촉 오리지널,롯데,90,1곽,밀/대두/우유/계란,440,200,55,30,14,6
칙촉 티라미수,롯데,90,1곽,우유/대두/밀/계란,435,290,49,26,14,6
몬스터 칙촉 쇼콜라,롯데,40,1개,밀/우유/대두/계란,200,85,24,14,6,3
몬스터 칙촉 티라미수,롯데,40,1개,밀/우유/대두/계란,200,130,22,12,6,3
ABC 초코쿠키,롯데,50,1갑,우유/대두/밀/달걀,265,115,30,17,8,3.4
ABC 초코쿠키 쿠키앤크림,롯데,43,1갑,우유/대두/밀/달걀,235,120,26,15,7,3
제크,롯데,50,1봉,밀/우유/대두/쇠고기,255,540,33,3,6.5,3
마가렛트,롯데,22,1봉,밀/계란/우유/대두/땅콩,112,80,13,6,2.9,1.5
마가렛트 초코맘,롯데,22,1봉,밀/계란/우유/대두/쇠고기,110,70,14,6,3,1.5
빠다코코낫,롯데,50,1봉,밀/대두/우유/아황산류,255,130,35,11,6.6,3
애플쿠키,롯데,230,1곽,밀/대두/계란,1040,480,162,87,19,12
하비스트 피넛버터샌드,롯데,91,1개,밀/땅콩/대두/우유,255,160,27,15,8,2
하비스트 달콤고소,롯데,100,1통,밀/대두/우유,515,350,67,24,12,6
롯데샌드 파인애플,롯데,53,1봉,밀/대두/계란/우유,270,115,36,15,6.9,2.2
빼빼로 화이트쿠키,롯데,37,1곽,밀/우유/대두/계란,185,120,25,13,8,3
빼빼로 초코쿠키,롯데,37,1곽,우유/대두/밀/계란,180,130,24,11,5,4
빼빼로 아몬드,롯데,37,1곽,밀/우유/대두/땅콩,205,100,20,11,4.9,4
빼빼로 오리지널,롯데,54,1곽,밀/대두/우유/땅콩,260,200,37,14,6,5
