대부업등의등록및금융이용자보호에관한법률,14,0,2,10,16,5,10,2,11,407,9,0,1,2,0,298,0,2,6,3,0,15,1,1,0,152,14,2,16,45,169,1,2,0,2,0,0,53,4,0,19,36,0,2,528,437
도로교통법,600,0,58,294,42,10,110,9,10,4,45,7,29,26,1,2054,16,26,95,17,17,2234,48,52,4,3960,8,6,89,589,1516,49,2,17,44,7,38,408,104,0,861,256,0,20,2193,1347
도로교통법(무면허운전),2684,1,208,1138,142,24,363,15,35,10,155,9,61,80,7,5906,10,54,518,67,121,623,147,229,1,10657,20,39,409,4079,5149,46,6,14,85,19,127,1075,83,0,4077,546,0,38,7535,2263
도로교통법(사고후미조치),1094,0,96,468,78,6,175,13,25,12,103,4,27,42,4,3357,27,50,192,20,43,2656,111,87,12,6721,33,8,155,1107,2647,58,5,21,99,13,47,771,332,1,569,1221,0,11,3294,1769
도로교통법(음주운전),6171,5,688,3136,497,109,1355,78,132,112,680,57,271,188,14,21020,86,365,1712,192,280,4666,389,1107,31,68005,262,70,1421,10282,16716,420,25,56,138,63,384,5612,1544,0,2971,2963,3,123,17541,8213
도로교통법(음주측정거부),165,0,7,53,10,1,23,1,4,0,14,0,7,7,0,416,1,4,22,2,2,117,9,18,0,721,7,2,13,203,250,5,0,2,7,2,4,65,30,0,30,41,0,2,335,161
도로법,57,0,7,91,12,2,6,0,0,0,7,0,0,80,0,574,1,1,5,3,0,932,2,1,0,140,0,0,2,19,111,0,0,0,1,0,1,15,4,0,6,10,0,0,88,345
도시및주거환경정비법,1,0,0,5,2,0,1,0,0,0,15,0,0,0,0,136,0,6,2,0,0,4,3,0,0,102,0,0,2,0,93,0,3,0,1,0,0,21,2,0,0,8,0,0,92,375
독점규제및공정거래에관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,28
디자인보호법,2,0,26,1,25,2,0,0,0,0,0,0,0,0,0,144,0,0,1,0,0,0,0,0,0,19,0,0,1,0,3,0,0,0,3,0,0,5,2,0,0,5,0,0,7,108
마약류관리에관한법률(대마),42,0,0,10,2,3,14,0,12,2,11,0,2,1,0,118,0,0,5,0,14,10,3,0,0,120,0,13,4,49,73,1,1,0,3,0,35,27,2,0,71,11,0,1,348,307
마약류관리에관한법률(마약),453,0,3,13,2,0,12,3,0,0,1,2,0,0,0,53,0,1,7,0,2,10,3,0,0,41,0,1,6,25,38,17,0,0,9,0,0,21,4,0,7,68,0,1,487,56
마약류관리에관한법률(향정),49,0,15,103,32,16,38,5,73,5,41,6,2,26,2,552,2,6,60,7,148,141,6,22,0,422,1,143,35,379,345,54,0,0,20,3,30,132,13,2,89,71,0,2,3004,1598
물환경보전법,35,1,139,16,6,0,1,0,0,0,0,0,1,1,0,277,0,0,2,1,0,6,0,1,0,69,0,0,1,4,30,2,0,1,0,0,0,3,3,0,0,4,0,0,15,420
배타적경제수역에서의외국인어업등에관한주권적권리의행사에관한법률,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,1,0,0,0,0,0,0,0,164
범죄수익은닉의규제및처벌등에관한법률,1,0,4,1,3,1,2,1,0,2,2,0,0,0,0,33,0,0,0,0,0,3,0,0,0,10,0,1,1,0,1,0,0,1,2,0,0,1,4,0,2,6,0,0,78,128
변호사법,11,0,1,21,1,0,2,0,0,0,11,0,0,0,0,102,0,27,1,1,0,4,0,0,0,50,0,1,2,9,22,0,78,0,7,7,0,37,10,0,1,5,0,0,141,496
병역법,22,0,17,48,17,2,51,2,28,2,11,1,10,0,0,428,2,14,66,62,20,27,10,55,0,1435,3,41,126,295,1083,8,3,0,6,1,42,177,4,0,237,41,0,129,1694,841
보조금관리에관한법률,282,0,20,22,6,0,8,0,0,0,4,3,0,3,0,552,3,0,14,0,1,36,4,0,3,161,2,0,2,27,45,7,0,13,4,0,3,46,19,0,4,22,0,0,135,241
부동산실권리자명의등기에관한법률,39,0,13,55,2,1,4,2,1,0,46,1,0,0,0,129,2,2,2,0,0,5,1,4,0,120,0,0,4,10,37,7,0,2,18,0,1,18,5,0,2,70,0,0,205,377
부정경쟁방지및영업비밀보호에관한법률,1,0,25,0,15,3,2,0,0,0,2,0,0,1,0,267,1,3,3,0,0,0,0,1,0,316,0,0,0,3,20,0,0,1,0,0,3,28,0,0,2,3,0,0,47,174
부정수표단속법,8,0,47,30,40,0,3,0,0,0,6,0,0,1,1,333,0,2,1,0,1,4,3,1,0,50,1,0,1,27,35,0,0,0,2,0,1,10,2,0,0,10,0,0,251,307
사행행위등규제및처벌특례법,5,0,1,1,1,0,2,0,8,0,1,0,0,1,0,253,0,0,1,2,2,11,0,0,0,9,0,3,2,3,94,0,0,0,0,0,0,2,0,0,0,1,0,0,83,104
산림자원의조성및관리에관한법률,205,0,9,37,2,0,3,1,0,0,5,0,0,1,0,109,0,1,5,0,0,13,4,0,0,36,0,0,0,20,10,0,0,0,7,1,0,4,17,0,3,22,0,0,108,329
산업안전보건법,11,1,101,750,6,0,1,1,0,1,0,1,0,0,0,561,1,1,2,0,0,1,0,0,0,85,0,0,0,3,160,0,0,0,2,0,0,5,12,0,0,2,0,0,16,5561
산지관리법,686,6,24,201,3,4,13,14,1,0,38,1,2,1,0,326,1,0,1,0,0,22,1,1,0,92,1,0,0,22,17,1,0,0,37,1,3,9,28,1,0,52,0,0,387,918
