2019-01-01-00-00-00,콘서트,5.34,8122,34.77,52885,35.14,53448,18.57,28245,5.01,7620,1.17,1780,4.98,7575,37.27,56688,36.11,54923,15.13,23013,5.13,7803,1.38,2099,37,56277,5.54,8426,33.3,50649,34.56,52566,20.61,31348,4.94,7514,1.05,1597,63,95823,21,152100
2019-01-01-00-00-00,클래식,2.28,1434,25.64,16131,34.21,21523,29.12,18321,6.44,4052,2.3,1447,2.33,1466,27.56,17339,32.76,20611,24.82,15616,8.59,5404,3.94,2479,28,17616,2.27,1428,24.9,15666,34.78,21882,30.78,19365,5.61,3530,1.66,1044,72,45299,35,62915
2019-07-01-00-00-00,강좌,3.87,16104,35.83,149099,31.35,130457,22.6,94045,5.2,21639,1.15,4785,2.64,10986,32.46,135076,31.96,132995,25.81,107403,5.44,22637,1.69,7033,37,153968,4.61,19184,37.86,157547,30.98,128917,20.67,86014,5.06,21056,0.82,3412,63,262162,39,416130
2019-07-01-00-00-00,구기스포츠,1.93,3687,18.95,36204,36.58,69886,32.32,61747,7.6,14520,2.63,5025,2.43,4643,21.46,40999,38.87,74261,26.59,50800,7.42,14176,3.24,6190,75,143288,0.41,783,11.38,21741,29.67,56685,49.59,94742,8.13,15532,0.81,1548,25,47763,34,191050
2019-07-01-00-00-00,국내숙박,0.82,37020,18.47,833848,38.87,1754829,33.01,1490273,7.27,328212,1.57,70879,0.89,40180,16.19,730915,35.92,1621648,34.66,1564764,9.82,443335,2.52,113768,31,1399529,0.78,35214,19.52,881252,40.21,1815325,32.25,1455962,6.11,275843,1.13,51015,69,3115081,39,4514610
2019-07-01-00-00-00,국내여행,0.93,16117,19.5,337931,31.23,541210,31.8,551088,12.88,223208,3.67,63600,0.78,13517,15.74,272771,29.4,509496,33.52,580895,15.1,261680,5.46,94621,36,623873,1.01,17503,21.6,374324,32.25,558886,30.84,534451,11.64,201719,2.67,46271,64,1109107,40,1732980
2019-07-01-00-00-00,국악/전통예술,2.12,785,20.04,7425,32.76,12138,30.25,11208,12.52,4639,2.31,856,1.85,685,12.04,4461,33.33,12349,23.15,8577,25,9263,4.63,1715,21,7781,2.19,811,22.14,8203,32.6,12078,32.12,11900,9.25,3427,1.7,630,79,29270,29,37050
2019-07-01-00-00-00,뮤지컬,0.59,2398,9.25,37593,56.63,230153,30.34,123307,2.41,9795,0.78,3170,0.56,2276,9.48,38528,47.94,194836,36.66,148992,3.96,16094,1.41,5730,19,77219,0.6,2438,9.19,37350,58.68,238485,28.86,117292,2.04,8291,0.63,2560,81,329197,33,406416
2019-07-01-00-00-00,발레/무용,1.33,134,16.15,1630,39.17,3953,35.14,3547,6.09,615,2.12,214,0.24,24,16.07,1622,29.74,3002,35.01,3534,12.95,1307,6,606,14,1413,1.52,153,16.16,1631,40.74,4112,35.16,3549,4.95,500,1.48,149,86,8680,16,10093
2019-07-01-00-00-00,스포츠,8.42,2709,31.19,10036,33.17,10673,21.78,7008,4.46,1435,0.99,319,13.22,4254,27.27,8775,38.02,12234,15.7,5052,4.13,1329,1.65,531,60,19307,1.23,396,37.04,11919,25.93,8344,30.86,9930,4.94,1590,0,0,40,12871,8,32178
2019-07-01-00-00-00,아웃도어스포츠,0.41,1611,30.79,120988,38.43,151009,24.51,96311,4.85,19058,1,3929,0.53,2083,22.86,89827,41.54,163229,27.82,109317,6,23577,1.25,4912,46,180755,0.3,1179,37.67,148022,35.75,140478,21.64,85033,3.85,15128,0.79,3104,54,212190,37,392945
2019-07-01-00-00-00,연극,2.96,31893,49.43,532598,25.34,273033,16.63,179185,4.73,50965,0.91,9805,1.34,14438,45.58,491115,30.33,326800,16.09,173367,5.44,58615,1.21,13038,33,355568,3.75,40406,51.31,552855,22.92,246958,16.89,181986,4.38,47194,0.76,8189,67,721912,38,1077480
2019-07-01-00-00-00,오페라,0.76,453,24.62,14678,32.2,19197,29.92,17837,8.71,5193,3.79,2259,0,0,28.4,16931,30.86,18398,30.86,18398,3.7,2206,6.17,3678,31,18481,1.09,650,22.95,13682,32.79,19548,29.51,17593,10.93,6516,2.73,1628,69,41136,17,59617
2019-07-01-00-00-00,전시/행사,2.56,27004,25.93,273521,40.89,431325,26.67,281326,3.15,33228,0.8,8439,2.12,22363,25.98,274048,38.71,408329,26.46,279111,5.14,54219,1.58,16667,20,210968,2.67,28164,25.92,273415,41.45,437232,26.72,281854,2.65,27953,0.6,6329,80,843874,35,1054842
2019-07-01-00-00-00,체험,3.1,13512,31.58,137648,37.19,162100,24.06,104870,3.16,13773,0.91,3966,1.9,8282,31.91,139086,33.77,147193,25.87,112760,5.06,22055,1.48,6451,27,117685,3.54,15430,31.46,137125,38.46,167636,23.39,101950,2.46,10722,0.69,3008,73,318185,37,435870
2019-07-01-00-00-00,콘서트,3.2,13825,34.85,150562,34.12,147409,19.6,84678,6.5,28082,1.74,7517,3.24,13998,33.46,144557,35.76,154494,17.72,76556,7.2,31106,2.61,11276,35,151211,3.18,13739,35.58,153716,33.26,143693,20.59,88955,6.12,26440,1.28,5530,65,280820,27,432030
2019-07-01-00-00-00,클래식,3.39,2583,31.72,24164,32.31,24614,25.42,19365,5.51,4198,1.64,1249,3,2285,30.16,22976,34.78,26495,20.91,15929,8.18,6232,2.96,2255,23,17521,3.51,2674,32.19,24522,31.56,24042,26.78,20401,4.71,3588,1.25,952,77,58659,36,76180
2019-06-01-00-00-00,강좌,3.61,13955,34.53,133479,31.93,123429,23.51,90880,4.99,19289,1.44,5566,2.4,9277,29.04,112257,33.36,128956,27.12,104835,5.88,22730,2.19,8466,40,154624,4.4,17009,38.13,147395,30.99,119795,21.13,81680,4.4,17009,0.95,3672,60,231936,39,386560
2019-06-01-00-00-00,구기스포츠,3.19,6005,14.37,27053,37.16,69957,34.11,64215,9.29,17489,1.89,3558,4.14,7794,17.55,33040,38.66,72781,28.8,54219,8.88,16717,1.97,3709,74,139312,0.55,1035,5.49,10335,32.97,62069,48.9,92059,10.44,19654,1.65,3106,26,48948,34,188260
2019-06-01-00-00-00,국내숙박,0.55,17979,18.12,592319,40.91,1337295,31.74,1037539,7.01,229148,1.67,54590,0.58,18959,16.02,523673,38.02,1242824,33.65,1099975,9.16,299428,2.56,83683,32,1046038,0.54,17652,19.12,625008,42.28,1382078,30.83,1007793,5.99,195805,1.25,40861,68,2222832,39,3268870
2019-06-01-00-00-00,국내여행,0.54,7219,18.74,250539,32.48,434232,31.27,418055,13.25,177142,3.72,49733,0.52,6952,14.78,197597,30.3,405087,33.59,449071,15.24,203747,5.56,74333,35,467922,0.55,7353,20.9,279416,33.67,450141,29.99,400942,12.16,162569,2.72,36364,65,868998,40,1336920
2019-06-01-00-00-00,국악/전통예술,3.54,1396,26.12,10303,32.11,12666,27.89,11001,7.35,2899,2.99,1179,3.27,1290,21.57,8509,32.03,12635,24.18,9538,13.07,5156,5.88,2319,21,8284,3.61,1424,27.32,10777,32.13,12674,28.87,11388,5.84,2304,2.23,880,79,31162,28,39446
2019-06-01-00-00-00,뮤지컬,0.74,2017,12.35,33657,54.49,148501,28.45,77534,3.15,8585,0.82,2235,0.64,1744,11.2,30523,47.92,130595,34.62,94349,4.25,11582,1.36,3706,22,59956,0.76,2071,12.67,34529,56.34,153542,26.71,72792,2.84,7740,0.67,1826,78,212572,30,272528
2019-06-01-00-00-00,발레/무용,0.97,57,15.65,924,39.12,2309,34.95,2063,7.75,457,1.56,92,0.45,27,18.3,1080,31.7,1871,41.07,2424,8.04,475,0.45,27,17,1004,1.07,63,15.12,893,40.61,2397,33.72,1990,7.69,454,1.79,106,83,4899,14,5903
2019-06-01-00-00-00,스포츠,2.09,584,30.54,8532,35.15,9820,23.43,6546,6.28,1755,2.51,701,0,0,31.68,8851,40.59,11340,18.81,5255,5.94,1660,2.97,830,42,11734,3.62,1011,29.71,8300,31.16,8705,26.81,7490,6.52,1822,2.17,606,57,15925,8,27938
2019-06-01-00-00-00,아웃도어스포츠,0.18,468,31.1,80928,39.36,102423,23.31,60657,4.67,12152,1.38,3591,0.3,781,24.3,63233,40.4,105129,28.36,73798,4.92,12803,1.71,4450,48,124906,0.08,208,37.27,96984,38.41,99951,18.73,48739,4.43,11528,1.08,2810,52,135314,36,260220
2019-06-01-00-00-00,연극,1.72,13391,48.75,379543,28.43,221342,15.3,119118,4.77,37137,1.03,8019,0.81,6306,42.77,332986,35.4,275607,15.2,118340,4.71,36670,1.11,8642,36,280278,2.24,17440,52.12,405780,24.49,190667,15.35,119507,4.8,37370,0.99,7708,64,498272,38,778550
2019-06-01-00-00-00,오페라,1.08,706,19.46,12723,36.76,24034,30.81,20144,7.57,4949,4.32,2824,3.7,2419,5.56,3635,35.19,23008,37.04,24217,5.56,3635,12.96,8473,28,18307,0,0,25.19,16469,37.4,24452,28.24,18464,8.4,5492,0.76,497,71,46421,18,65381
2019-06-01-00-00-00,전시/행사,2.19,15543,27.85,197663,40.24,285600,25.18,178713,3.61,25622,0.93,6601,2.02,14337,26.43,187585,39.91,283258,25.47,180771,4.7,33358,1.48,10504,23,163241,2.24,15898,28.28,200715,40.34,286310,25.09,178074,3.28,23280,0.76,5394,77,546501,33,709742
2019-06-01-00-00-00,체험,2.05,8330,29.33,119185,40.85,165997,23.34,94844,3.54,14385,0.89,3617,1.4,5689,29.51,119916,37.07,150637,26.05,105856,4.76,19343,1.21,4917,30,121907,2.33,9468,29.25,118859,42.47,172580,22.18,90130,3.02,12272,0.76,3088,70,284450,37,406357
2019-06-01-00-00-00,콘서트,2.47,12334,31.06,155104,34,169785,21.54,107564,8.43,42097,2.51,12534,2.57,12834,27.09,135279,36.3,181271,20.84,104068,9.49,47390,3.7,18477,33,164792,2.42,12085,32.99,164742,32.87,164143,21.88,109262,7.91,39500,1.92,9588,67,334577,27,499369
2019-06-01-00-00-00,클래식,2.98,2130,32.66,23344,32.42,23173,23.57,16847,6.73,4810,1.65,1179,3.33,2380,30.99,22151,33.37,23852,21.57,15418,7.77,5554,2.97,2123,24,17154,2.87,2051,33.2,23730,32.12,22958,24.21,17305,6.39,4567,1.22,872,76,54323,36,71477
2019-03-01-00-00-00,강좌,0.55,3211,27.63,161304,38.96,227448,26.98,157509,5.13,29949,0.75,4379,0.7,4087,20.06,117110,41.18,240409,30.85,180102,6.15,35904,1.06,6188,41,239358,0.44,2569,32.9,192070,37.42,218458,24.28,141747,4.42,25804,0.54,3153,59,344442,39,583800
2019-03-01-00-00-00,국내숙박,0.38,10424,17.06,467990,41.73,1144737,30.15,827075,8.49,232898,2.18,59802,0.42,11521,14.09,386517,38.71,1061893,33,905256,10.45,286664,3.33,91349,34,932688,0.36,9876,18.57,509412,43.26,1186708,28.71,787573,7.49,205466,1.6,43891,66,1810512,39,2743200
2019-03-01-00-00-00,국내여행,0.5,6318,15.86,200394,31.72,400789,30.03,379435,16.65,210376,5.25,66335,0.53,6697,12.46,157435,30.67,387522,32.05,404958,16.65,210376,7.64,96533,34,429597,0.48,6065,17.57,222000,32.25,407485,29.01,366547,16.66,210502,4.04,51046,66,833923,40,1263520
2019-03-01-00-00-00,국악/전통예술,0.79,277,11.27,3955,22.4,7860,29.18,10239,23.86,8372,12.5,4386,0.54,189,7.3,2562,17.04,5979,29.26,10267,27.42,9622,18.44,6471,43,15089,0.97,340,14.24,4997,26.42,9271,29.13,10222,21.2,7439,8.05,2825,56,19650,23,35090
