2020-01-01-00-00-00,스포츠,501,7276,7193,12461,921,252,12012,123,5062,9575,12927,855,60,16302,283,5995,8569,12730,881,0.49,140,1,28600
2020-01-01-00-00-00,국내여행,13035,176638,311851,374597,166696,61862,375591,15907,239053,343887,351399,127591,26844,729089,14913,218174,333061,359131,140626,3.49,38553,20,1104680
2020-01-01-00-00-00,국내숙박,59048,948015,1988123,1791478,494593,135972,1787686,52547,1147369,2182060,1637629,333160,63923,3629544,54714,1081821,2118137,1688551,386248,1.62,87759,29,5417230
2020-01-01-00-00-00,체험,429,6907,5746,3340,646,214,5184,893,6793,6179,2922,385,107,12096,755,6827,6050,3046,463,0.81,140,1,17280
2020-01-01-00-00-00,강좌,40190,630828,1246772,859760,174453,25007,1250344,37213,862737,1195567,729665,129798,21732,1696896,38403,765985,1217002,783847,148553,0.78,23221,10,2977010
2020-02-01-00-00-00,뮤지컬,582,12297,59630,40864,5900,1866,26653,775,13048,69819,32844,3586,1078,94497,727,12878,67541,34637,4107,1.04,1260,8,121150
2020-02-01-00-00-00,콘서트,3405,27501,27785,12613,4350,1207,28438,4058,25064,25871,17094,3943,822,48422,3820,25956,26578,15457,4097,1.25,961,6,76860
2020-02-01-00-00-00,연극,3110,141771,113423,48708,15189,5139,111296,9035,164259,84486,49068,17349,3142,216044,7038,156730,94176,48937,16629,1.17,3830,14,327340
2020-02-01-00-00-00,전시/행사,3365,41132,73654,50869,7625,2363,37588,5602,50565,75623,42277,3938,984,141402,5137,48596,75212,44049,4707,0.71,1271,5,178990
2020-02-01-00-00-00,클래식,890,8034,9931,6497,2799,1124,8198,785,8690,9934,7800,1476,597,20787,814,8502,9934,7428,1853,2.55,747,12,29278
2020-02-01-00-00-00,오페라,1522,4060,11169,11676,9390,1522,13769,271,8714,9666,15110,4221,1361,25571,708,7089,10189,13911,6027,3.6,1416,4,39340
2020-02-01-00-00-00,발레/무용,0,33,100,183,20,15,53,5,47,147,124,23,4,298,5,45,140,133,23,1.52,5,1,350
2020-02-01-00-00-00,국악/전통예술,39,179,598,1549,1640,1171,2484,46,611,1474,1469,1117,459,2691,42,402,1051,1507,1370,15.51,803,6,5175
2020-02-01-00-00-00,스포츠,577,9129,7978,8651,1346,482,12390,228,9741,8144,8296,1523,228,15770,383,9470,8071,8454,1445,1.21,341,1,28160
2020-02-01-00-00-00,국내여행,6022,113282,214367,259192,120524,48942,251569,7242,146825,234340,246309,104134,23480,510761,6861,135847,227784,250502,109547,4.17,31789,20,762330
